nodeID_from,nodeID_to,mode,line,year
0,1,light_rail,Tramway - Ligne 1,2012
0,3,light_rail,Tramway - Ligne 1,2012
2,3,light_rail,Tramway - Ligne 1,2012
2,5,light_rail,Tramway - Ligne 1,2012
4,9,light_rail,Tramway - Ligne 1,2012
6,7,light_rail,Tramway - Ligne 1,2012
6,18,light_rail,Tramway - Ligne 1,2012
8,14,light_rail,Tramway - Ligne 1,2012
9,7,light_rail,Tramway - Ligne 1,2012
10,25,light_rail,Tramway - Ligne 1,2012
10,13,light_rail,Tramway - Ligne 1,2012
11,17,light_rail,Tramway - Ligne 1,2012
12,13,light_rail,Tramway - Ligne 1,2012
14,15,light_rail,Tramway - Ligne 1,2012
15,16,light_rail,Tramway - Ligne 1,2012
16,17,light_rail,Tramway - Ligne 1,2012
18,20,light_rail,Tramway - Ligne 1,2012
19,29,light_rail,Tramway - Ligne 1,2012
19,30,light_rail,Tramway - Ligne 1,2012
20,22,light_rail,Tramway - Ligne 1,2012
21,28,light_rail,Tramway - Ligne 1,2012
22,23,light_rail,Tramway - Ligne 1,2012
24,30,light_rail,Tramway - Ligne 1,2012
26,27,light_rail,Tramway - Ligne 1,2012
26,25,light_rail,Tramway - Ligne 1,2012
28,29,light_rail,Tramway - Ligne 1,2012
4,5,light_rail,Tramway - Ligne 1,2012
22,10,light_rail,Tramway - Ligne 1,2012
19,27,light_rail,Tramway - Ligne 1,2012
31,38,light_rail,Tramway - Ligne 2,2012
32,39,light_rail,Tramway - Ligne 2,2012
32,36,light_rail,Tramway - Ligne 2,2012
33,40,light_rail,Tramway - Ligne 2,2012
34,35,light_rail,Tramway - Ligne 2,2012
34,40,light_rail,Tramway - Ligne 2,2012
36,37,light_rail,Tramway - Ligne 2,2012
38,39,light_rail,Tramway - Ligne 2,2012
41,42,light_rail,Tramway - Ligne 2,2012
41,48,light_rail,Tramway - Ligne 2,2012
43,45,light_rail,Tramway - Ligne 2,2012
43,47,light_rail,Tramway - Ligne 2,2012
44,49,light_rail,Tramway - Ligne 2,2012
44,56,light_rail,Tramway - Ligne 2,2012
46,50,light_rail,Tramway - Ligne 2,2012
47,48,light_rail,Tramway - Ligne 2,2012
50,54,light_rail,Tramway - Ligne 2,2012
51,53,light_rail,Tramway - Ligne 2,2012
51,54,light_rail,Tramway - Ligne 2,2012
52,56,light_rail,Tramway - Ligne 2,2012
55,67,light_rail,Tramway - Ligne 2,2012
55,60,light_rail,Tramway - Ligne 2,2012
57,58,light_rail,Tramway - Ligne 2,2012
58,61,light_rail,Tramway - Ligne 2,2012
59,61,light_rail,Tramway - Ligne 2,2012
59,66,light_rail,Tramway - Ligne 2,2012
60,64,light_rail,Tramway - Ligne 2,2012
62,63,light_rail,Tramway - Ligne 2,2012
62,65,light_rail,Tramway - Ligne 2,2012
64,68,light_rail,Tramway - Ligne 2,2012
65,66,light_rail,Tramway - Ligne 2,2012
68,69,light_rail,Tramway - Ligne 2,2012
37,35,light_rail,Tramway - Ligne 2,2012
51,47,light_rail,Tramway - Ligne 2,2012
50,57,light_rail,Tramway - Ligne 2,2012
64,66,light_rail,Tramway - Ligne 2,2012
36,39,light_rail,Tramway - Ligne 2,2012
42,40,light_rail,Tramway - Ligne 2,2012
