nodeID_from,nodeID_to,mode,line,year
0,11,default,Tram - 3,0
0,14,default,Tram - 3,0
1,13,default,Tram - 3,0
1,2,default,Tram - 3,0
2,12,default,Tram - 3,0
3,15,default,Tram - 3,0
4,14,default,Tram - 3,0
4,12,default,Tram - 3,0
5,18,default,Tram - 3,0
6,20,default,Tram - 3,0
6,3,default,Tram - 3,0
7,17,default,Tram - 3,0
7,15,default,Tram - 3,0
8,9,default,Tram - 3,0
8,28,default,Tram - 3,0
10,19,default,Tram - 3,0
11,20,default,Tram - 3,0
16,27,default,Tram - 3,0
16,18,default,Tram - 3,0
19,13,default,Tram - 3,0
21,24,default,Tram - 3,0
21,26,default,Tram - 3,0
22,31,default,Tram - 3,0
23,32,default,Tram - 3,0
23,31,default,Tram - 3,0
25,33,default,Tram - 3,0
26,34,default,Tram - 3,0
27,28,default,Tram - 3,0
29,30,default,Tram - 3,0
29,24,default,Tram - 3,0
33,34,default,Tram - 3,0
5,17,default,Tram - 3,0
9,31,default,Tram - 3,0
32,25,default,Tram - 3,0
35,46,default,Tram - 1,0
36,43,default,Tram - 1,0
37,51,default,Tram - 1,0
38,41,default,Tram - 1,0
39,55,default,Tram - 1,0
40,45,default,Tram - 1,0
40,58,default,Tram - 1,0
41,51,default,Tram - 1,0
42,47,default,Tram - 1,0
42,50,default,Tram - 1,0
43,46,default,Tram - 1,0
44,52,default,Tram - 1,0
44,49,default,Tram - 1,0
48,47,default,Tram - 1,0
49,53,default,Tram - 1,0
52,55,default,Tram - 1,0
53,36,default,Tram - 1,0
54,58,default,Tram - 1,0
56,67,default,Tram - 1,0
56,62,default,Tram - 1,0
57,62,default,Tram - 1,0
57,59,default,Tram - 1,0
59,61,default,Tram - 1,0
60,69,default,Tram - 1,0
61,54,default,Tram - 1,0
63,71,default,Tram - 1,0
64,68,default,Tram - 1,0
65,68,default,Tram - 1,0
66,72,default,Tram - 1,0
66,65,default,Tram - 1,0
69,63,default,Tram - 1,0
70,71,default,Tram - 1,0
73,84,default,Tram - 1,0
74,84,default,Tram - 1,0
74,83,default,Tram - 1,0
75,80,default,Tram - 1,0
76,85,default,Tram - 1,0
77,80,default,Tram - 1,0
78,85,default,Tram - 1,0
79,92,default,Tram - 1,0
79,89,default,Tram - 1,0
81,86,default,Tram - 1,0
81,90,default,Tram - 1,0
82,76,default,Tram - 1,0
87,91,default,Tram - 1,0
88,94,default,Tram - 1,0
88,93,default,Tram - 1,0
89,93,default,Tram - 1,0
91,90,default,Tram - 1,0
47,45,default,Tram - 1,0
35,47,default,Tram - 1,0
60,59,default,Tram - 1,0
72,73,default,Tram - 1,0
84,75,default,Tram - 1,0
80,78,default,Tram - 1,0
82,86,default,Tram - 1,0
87,92,default,Tram - 1,0
95,103,default,Tram - 6,0
95,96,default,Tram - 6,0
97,99,default,Tram - 6,0
98,104,default,Tram - 6,0
99,101,default,Tram - 6,0
100,102,default,Tram - 6,0
101,100,default,Tram - 6,0
102,103,default,Tram - 6,0
104,100,default,Tram - 6,0
105,106,default,Tram - STB,0
