nodeID_from,nodeID_to,mode,line,year
0,2,default,Renfe - Renfe,0
0,8,default,Renfe - Renfe,0
1,11,default,Renfe - Renfe,0
2,6,default,Renfe - Renfe,0
3,7,default,Renfe - Renfe,0
4,10,default,Renfe - Renfe,0
5,9,default,Renfe - Renfe,0
5,1,default,Renfe - Renfe,0
7,11,default,Renfe - Renfe,0
8,12,default,Renfe - Renfe,0
10,6,default,Renfe - Renfe,0
12,11,default,Renfe - Renfe,0
13,23,default,Euskotren - Topo,1998
13,15,default,Euskotren - Topo,0
14,21,default,Euskotren - Topo,0
14,18,default,Euskotren - Topo,0
15,26,default,Euskotren - Topo,2005
16,19,default,Euskotren - Topo,0
16,24,default,Euskotren - Topo,2016
17,22,default,Euskotren - Topo,1993
18,24,default,Euskotren - Topo,2016
19,25,default,Euskotren - Topo,1912
20,30,default,Euskotren - Topo,1913
20,32,default,Euskotren - Topo,0
21,22,default,Euskotren - Topo,1993
25,31,default,Euskotren - Topo,1912
26,17,default,Euskotren - Topo,2005
27,31,default,Euskotren - Topo,0
28,27,default,Euskotren - Topo,0
29,32,default,Euskotren - Topo,0
28,29,default,Euskotren - Topo,0
33,34,default,Euskotren - Línea general,0
